genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.41837,35.480461
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.394499,35.637583
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.389819,35.54302
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.387642,35.61495
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.383413,35.634252
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.380883,35.634581
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.378765,35.518288
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.374901,35.637647
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372599,35.745977
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372252,35.63842
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.37186,35.519659
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.370333,35.638134
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.308788,35.552604
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.306518,35.55153
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.30496,35.516377
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.300302,35.55402
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.29183,35.751086
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.247784,35.613225
Bombycilla_cedrorum,Bombycilla  cedrorum,5137,Cedar Waxwing,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.241125,35.613917
