genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.309449,35.563337
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.308382,35.521152
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.307094,35.550104
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.303892,35.534165
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.287485,35.599443
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.272379,35.753429
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.251098,35.745807
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.238863,35.639695
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.231662,35.598336
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.231369,35.61719
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.222773,35.58222
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.216098,35.746078
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.215716,35.780925
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.211529,35.622325
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.210555,35.754726
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.195864,35.69578
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.190829,35.76694
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.189313,35.623434
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.162754,35.711632
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.162219,35.771948
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.156109,35.77139
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.129697,35.602751
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.12792,35.605658
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.126367,35.610805
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.121085,35.636914
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.11832,35.759135
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.105537,35.652467
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.098476,35.662037
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.095696,35.67065
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.088479,35.720093
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.077083,35.643433
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.07403,35.651761
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.046107,35.636112
