genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.218436,35.74425
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.194869,35.763009
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.194373,35.764271
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.193391,35.768408
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.192492,35.764666
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.190353,35.770131
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.188807,35.771043
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.18675,35.771468
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.106951,35.757037
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066646,35.584188
