genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.531942,35.688826
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.526303,35.676442
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.523606,35.672876
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.522783,35.666051
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.520605,35.669838
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.518206,35.670122
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.517131,35.681962
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.514595,35.67968
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.511355,35.678873
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.508064,35.697582
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.503107,35.700227
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.491748,35.455297
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.490051,35.456711
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.488647,35.675469
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.48818,35.455695
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.470262,35.695102
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.44899,35.474119
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.447112,35.70083
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.445471,35.46816
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440621,35.466284
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440564,35.464411
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440511,35.460815
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.439972,35.462322
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.41792,35.481993
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.380978,35.708782
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.380156,35.507128
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372599,35.745977
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.371076,35.746827
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.368086,35.748535
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.314602,35.557261
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305386,35.514323
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.30496,35.516377
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.287837,35.754145
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.212575,35.773357
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.212388,35.7666
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.209424,35.631702
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.206449,35.638328
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.108106,35.755132
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.092028,35.745461
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.071806,35.586578
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.070123,35.645455
