genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.684332,35.447199
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.683764,35.645462
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.679432,35.446596
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.675773,35.681314
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.669035,35.666727
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.665901,35.445445
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.662577,35.439506
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.660551,35.439542
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.654706,35.439977
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.653781,35.440646
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.651808,35.440266
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.64812,35.44133
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.642956,35.446436
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.635909,35.693875
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.632528,35.697582
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.631022,35.699156
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.628859,35.444797
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.627074,35.699405
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.626416,35.444887
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.620092,35.446196
